frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
2,19,car,1304.69,550.08,1373.34,617.74,1339.01,583.91,0.5107
2,20,motorcycle,874.57,408.26,901.81,459.66,888.19,433.96,0.6029
2,21,car,1521.62,835.08,1634.09,947.43,1577.85,891.25,0.4005
2,22,car,955.3,288.37,989.04,337.49,972.17,312.93,0.5105
2,23,motorcycle,910.35,311.63,934.59,348.06,922.47,329.84,0.306
2,24,car,405.05,869.09,549.22,1066.08,477.13,967.59,0.6365
2,25,car,852.94,175.93,892.48,205.59,872.71,190.76,0.4101
2,26,car,833.09,223.29,861.96,260.5,847.53,241.89,0.3267
2,27,motorcycle,1215.59,526.08,1241.62,568.42,1228.61,547.25,0.407
2,28,motorcycle,946.37,430.09,975.09,477.63,960.73,453.86,0.3615
2,29,car,1267.24,470.56,1314.01,515.55,1290.63,493.06,0.3467
2,30,car,812.45,160.96,846.05,192.02,829.25,176.49,0.4256
2,31,car,1273.66,493.71,1323.77,559.42,1298.72,526.56,0.3446
2,32,motorcycle,920.99,234.08,938.1,269.47,929.54,251.78,0.4379
2,33,car,1247.82,443.59,1293.6,498.52,1270.71,471.05,0.3176
2,34,truck,898.85,188.89,930.73,223.98,914.79,206.44,0.2666
3,1,car,168.98,881.05,386.55,1076.83,277.76,978.94,0.9415
3,2,bus,641.07,456.71,846.15,745.14,743.61,600.93,0.9213
3,3,car,278.66,565.18,430.4,687.03,354.53,626.11,0.9033
3,4,car,540.13,414.31,639.51,502.18,589.82,458.25,0.8808
3,5,car,561.54,757.95,731.67,966.32,646.6,862.13,0.8438
3,6,car,1396.68,621.89,1509.3,741.57,1452.99,681.73,0.8345
3,7,car,684.9,354.0,766.68,436.63,725.79,395.31,0.843
3,8,car,617.91,313.77,689.31,376.02,653.61,344.9,0.766
3,9,car,595.07,499.37,695.76,608.39,645.42,553.88,0.8306
3,10,car,731.66,276.64,779.72,328.96,755.69,302.8,0.7126
3,11,car,708.0,236.45,763.4,274.93,735.7,255.69,0.7405
3,12,car,789.94,266.06,839.01,312.91,814.48,289.48,0.811
3,13,car,766.48,202.65,805.43,235.81,785.95,219.23,0.7196
3,14,car,0.0,871.23,152.51,1071.59,76.25,971.41,0.8733
3,15,truck,1325.85,451.65,1404.04,565.27,1364.94,508.46,0.671
3,16,motorcycle,943.89,622.85,977.23,688.76,960.56,655.81,0.6343
3,17,car,1319.96,601.41,1381.07,682.19,1350.52,641.8,0.6091
3,19,car,1304.18,549.84,1372.67,617.42,1338.43,583.63,0.5103
3,20,motorcycle,874.37,413.75,900.25,462.46,887.31,438.1,0.6039
